has_current_account,has_pension_saving,has_savings_account,has_savings_account_starter,has_current_account_starter,bal_insurance_21,bal_insurance_23,cap_life_insurance_fixed_cap,cap_life_insurance_decreasing_cap,prem_fire_car_other_insurance,bal_personal_loan,bal_mortgage_loan,bal_current_account,bal_pension_saving,bal_savings_account,bal_savings_account_starter,bal_current_account_starter,visits_distinct_so,visits_distinct_so_areas
1,0,1,0,0,0,0,0,0,20,0,0,590,0,22000,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,940,0,10570,0,0,1,1
1,0,1,0,0,0,0,0,0,320,0,0,1210,0,15200,0,0,1,1
0,0,1,0,0,0,0,0,0,160,0,0,0,0,29020,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,13650,0,0,1,1
1,0,0,0,1,0,0,0,0,0,0,0,4150,0,0,0,4150,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,48170,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,27080,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,9680,0,0,1,1
1,0,1,0,0,0,0,0,0,70,0,0,13570,0,8850,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,11550,0,0,1,1
0,0,1,0,0,2570,0,0,0,0,0,0,0,0,16210,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,14610,0,0,1,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,42500,0,0,1,1
0,0,1,0,0,0,0,0,164580,0,0,0,0,0,20150,0,0,1,1
0,0,1,0,0,0,0,0,0,90,0,0,0,0,49070,0,0,1,1
1,0,1,0,0,0,0,0,0,1930,0,0,0,0,35070,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,21080,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,13940,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,7390,0,0,1,1
1,0,1,0,0,0,0,0,0,370,0,0,0,0,15060,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,15050,0,0,1,1
0,0,1,0,0,0,0,0,0,90,0,0,0,0,11050,0,0,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,10760,0,0,1,1
1,0,1,0,0,0,0,0,0,2150,0,0,120,0,20640,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,34350,0,0,1,1
0,0,1,0,0,3900,0,0,0,0,0,0,0,0,32520,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,39080,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,8670,0,0,1,1
